Title,Category,Description,Target Audience,Discipline,Estimated Minutes,Status,Difficulty,Source Type,Source File,Tags,Prerequisites
New Recruits,Getting Started,Complete onboarding guide for new team members,All,All,45,Published,Beginner,Markdown,New Recruits.md,onboarding,
GitHub Guide,Getting Started,Learn GitHub basics for team collaboration and version control,All,All,30,Published,Beginner,Markdown,GitHub Guide.md,github;tools,
GitHub Practice,Getting Started,Hands-on GitHub exercises for team collaboration,All,All,30,Published,Beginner,Markdown,GitHub practice.md,github;tools,GitHub Guide
Matt's Github Intro,Getting Started,Introduction to GitHub workflows,All,All,20,Published,Beginner,Markdown,Matt's Github Intro.md,github;tools,
Software Overview,Getting Started,General software overview and tools introduction,All,Software,30,Published,Beginner,Markdown,Software.md,software;tools,
UNP Nanosatellite User Guide,Getting Started,Complete NASA UNP nanosatellite program user guide,All,All,60,Published,Beginner,Markdown,UNP Nanosatellite User Guide (Feb 2025).md,nasa;reference,
Outlook Calendar Tutorial,Getting Started,Team calendar management and scheduling tutorial,All,All,15,Published,Beginner,PDF,outlook_calendar_tutorial.pdf,tools,
Team Management,Getting Started,Project management for aerospace teams,All,All,45,Published,Intermediate,PDF,8_UNP_EAT_TeamManagement_Presentation.pdf,management,
Mission Definition,Getting Started,Defining mission requirements and objectives,All,All,45,Published,Beginner,PDF,2_UNP_EAT_Mission_Definition_Presentation.pdf,nasa;mission,
UNP Audio Visual Recommendations,Getting Started,Best practices for presentations and communications,All,All,10,Published,Beginner,PDF,UNP_Audio_Visual_Recs.pdf,tools,
F Prime Tutorials,Software Development,Flight software framework tutorials and exercises,Graduate,Software,120,Published,Intermediate,Markdown,F Prime Tutorials.md,f-prime;software,Getting Started
F Prime LED Blinker Tutorial,Software Development,Hands-on F-Prime tutorial with LED blinker example,Undergraduate,Software,60,Published,Beginner,Markdown,F Prime led-blinker Tutorial.md,f-prime;software,F Prime Tutorials
Software F-Prime for Baby CADENCE,Software Development,F-Prime implementation for CADENCE mission,Graduate,Software,90,Published,Advanced,Markdown,Software F-Prime Software for Baby CADENCE.md,f-prime;cadence,F Prime Tutorials
How to Run scales-software,Software Development,Guide to running scales-software and fprime-python,Undergraduate,Software,30,Published,Intermediate,Markdown,How to Run scales-software (and fprime-python).md,f-prime;tools,F Prime Tutorials
Cygnet Payload Software F-Prime Components,Software Development,F-Prime component architecture for Cygnet payload,Graduate,Software,60,Published,Advanced,Markdown,Cygnet Payload Software F-Prime Components.md,f-prime;cadence,F Prime Tutorials
EAT Software Design Notes,Software Development,Comprehensive software architecture and design patterns,Graduate,Software,90,Published,Advanced,Markdown,EAT Software Design Notes.md,architecture;design,Software Overview
Prelim Software Architecture,Software Development,Preliminary software architecture documentation,Graduate,Software,60,Published,Advanced,Markdown,Prelim Software Architecture.md,architecture,EAT Software Design Notes
Prelim Software Diagrams,Software Development,Software architecture diagrams and visual documentation,Graduate,Software,45,Published,Advanced,Markdown,Prelim Software Diagrams.md,architecture;diagrams,Prelim Software Architecture
Software System Architecture Block Diagrams,Software Development,System-level architecture and block diagrams,Graduate,Software,60,Published,Advanced,Markdown,Software System Architecture Block Diagrams.md,architecture;diagrams,Prelim Software Architecture
SRR - Software Design Document,Software Development,System Requirements Review software design documentation,Graduate,Software,90,Draft,Advanced,Markdown,SRR - Software Design Document.md,documentation;reviews,EAT Software Design Notes
Software Management,Software Development,Software project management and development processes,Undergraduate,Software,45,Published,Intermediate,Markdown,Software Management.md,management;process,
Software Onboarding,Software Development,Onboarding guide for software team members,Undergraduate,Software,60,Published,Beginner,Markdown,Software Onboarding.md,onboarding;software,Getting Started
Update Software Design Document for PMR,Software Development,Preliminary Mission Review software documentation updates,Graduate,Software,60,Draft,Advanced,Markdown,Update Software Design Document for PMR.md,documentation;reviews,SRR - Software Design Document
Perfected Github Assignment,Software Development,Advanced GitHub workflows and best practices,Undergraduate,Software,45,Published,Intermediate,Markdown,Perfected Github Due.md,github;tools,GitHub Guide
2U Flight Software - Cygnet,Software Development,Flight software implementation for 2U CubeSat,Graduate,Software,90,Published,Advanced,Markdown,2U flight software done - Cygnet.md,cadence;flight-software,EAT Software Design Notes
Software for Cygnet,Software Development,Complete software stack for Cygnet mission,Graduate,Software,120,Published,Advanced,Markdown,Software for Cygnet.md,cadence;flight-software,2U Flight Software - Cygnet
Cygnet Hardware Software Plan,Software Development,Integrated hardware-software development plan,Graduate,Software,60,Published,Advanced,Markdown,Cygnet Hardware Software Plan.md,cadence;integration,Software for Cygnet
Software Development for Baby CADENCE,Software Development,Development workflow for CADENCE mission software,Graduate,Software,90,Published,Advanced,Markdown,Software Software Development for Baby CADENCE.md,cadence;development,EAT Software Design Notes
EAT - Software (Valerie's Notes),Software Development,Software team notes and development insights,Graduate,Software,30,Published,Intermediate,Markdown,EAT - Software (Valerie's Notes).md,notes,
CDH and Software,Software Development,Command and data handling systems overview,Graduate,Software,75,Published,Advanced,PDF,5_UNP_CDH_and_Software.pdf,nasa;cdh,
GitHub Navigation,Software Development,Advanced GitHub navigation and repository management,Undergraduate,Software,20,Published,Intermediate,Markdown,GitHub Navigation.md,github;tools,GitHub Guide
Add Github Tasks,Software Development,GitHub task management and issues,Undergraduate,Software,15,Published,Intermediate,Markdown,Add Github.md,github;tools,GitHub Guide
Create new section on Github,Software Development,GitHub organization and section management,Undergraduate,Software,15,Published,Intermediate,Markdown,Create new section on Github.md,github;tools,GitHub Navigation
Check in and GitHub discussion,Software Development,GitHub communication and collaboration practices,Undergraduate,Software,20,Published,Intermediate,Markdown,check in and github discussion.md,github;collaboration,GitHub Guide
Ella - UML Diagrams & Github,Software Development,UML diagram creation and GitHub integration,Undergraduate,Software,45,Published,Intermediate,Markdown,Ella Do Comments UML Diagrams & confirm Github.md,diagrams;github,Prelim Software Diagrams
Train Kelly in Software,Software Development,Software mentoring and training guide,Undergraduate,Software,30,Published,Intermediate,Markdown,train kelly in software.md,mentoring,Software Onboarding
Angel - Software,Software Development,Individual software development workspace,Graduate,Software,Varies,Published,Intermediate,Markdown,Angel - Software.md,workspace,
Avionics Team Onboarding,Hardware & Subsystems,Complete onboarding for avionics hardware team,Undergraduate,Electrical,60,Published,Intermediate,Markdown,Avionics Team Onboarding Followup.md,avionics;onboarding,Getting Started
New Avionics Team Members Onboarding,Hardware & Subsystems,New member orientation for avionics subsystem,Undergraduate,Electrical,45,Published,Beginner,Markdown,New Avionics Team Members Onboarding.md,avionics;onboarding,Getting Started
Power Systems PCB Onboarding,Hardware & Subsystems,PCB design onboarding for power systems,Undergraduate,Electrical,60,Published,Intermediate,Markdown,Power Systems PCB Onboarding Activity.md,power;pcb,
NASA Power Systems for CubeSats,Hardware & Subsystems,Comprehensive electrical power systems design guide,Graduate,Electrical,120,Published,Advanced,PDF,NASA_MSFC_Electrical_Power_Systems_for_Cubesats.pdf,nasa;power;eps,
UNP Electrical Power Systems,Hardware & Subsystems,NASA UNP electrical power systems training,Graduate,Electrical,120,Published,Advanced,PDF,4_UNP_NASA_Electrical_Power_Systems.pdf,nasa;power;eps,
EPS Design Presentation,Hardware & Subsystems,EPS subsystem design presentation,Graduate,Electrical,45,Published,Advanced,PDF,12_UNP_EAT_EPS_Design_Presentation.pdf,power;design,
Communications Subsystem,Hardware & Subsystems,RF communications and subsystem design guide,Graduate,Electrical,90,Published,Advanced,PDF,16_UNP_Communications_Subsystem.pdf,nasa;comms;rf,
UNP COMM Subsystem,Hardware & Subsystems,Communications subsystem overview,Graduate,Electrical,75,Published,Advanced,PDF,6_UNP_COMM_Subsystem.pdf,nasa;comms,
PCB Layout Tips Guidelines Resources,Hardware & Subsystems,PCB layout best practices and design guidelines,Undergraduate,Electrical,45,Published,Intermediate,Markdown,PCB Layout Tips Guidelines Resources.md,pcb;design,
High Energy Proton SEE Test - iMX,Hardware & Subsystems,Single event effects testing procedure for iMX,Graduate,Electrical,60,Published,Advanced,Markdown,High Energy Proton SEE Test Setup - iMX.md,testing;radiation,
High Energy Proton SEE Test - Jetson AGX,Hardware & Subsystems,SEE testing setup for Jetson AGX Orin,Graduate,Electrical,60,Published,Advanced,Markdown,High Energy Proton SEE Test Setup - Jetson AGX Ori.md,testing;radiation,
TID Test Setup - Jetson,Hardware & Subsystems,Total ionizing dose test procedure for Jetson,Graduate,Electrical,45,Published,Advanced,Markdown,TID Test Setup - Jetson.md,testing;radiation,
TID Test Guideline Research,Hardware & Subsystems,Research guidelines for TID testing,Graduate,Electrical,30,Published,Advanced,Markdown,TID Test Guideline Research.md,testing;radiation;research,
IMX v2 Board Software Compatibility,Hardware & Subsystems,Software compatibility testing for IMX v2 board,Graduate,Electrical,45,Published,Advanced,Markdown,IMX v2 board software compatibility testing.md,testing;avionics,
RadLab Environmental Data APP,Hardware & Subsystems,How to use RadLab environmental data application,Graduate,Electrical,30,Published,Intermediate,Markdown,RadLab Environmental Data APP How To.md,testing;tools,
Payload Software,Hardware & Subsystems,Payload software integration overview,Graduate,Software,60,Published,Advanced,Markdown,Payload Software.md,payload;integration,
UNP Mission Design Course,Mission Design & Analysis,Complete NASA mission design course presentation,Graduate,Aerospace,180,Published,Advanced,PDF,UNP_Mission_Design_Course_Presentation.pdf,nasa;mission;course,Getting Started
Orbit Simulations - Targeting SMA,Mission Design & Analysis,Orbital mechanics tutorial on semi-major axis targeting,Graduate,Aerospace,60,Published,Intermediate,Markdown,Orbit Simulations #1 - Targetting SMA.md,orbits;simulation,
How Many Satellites for 24hr Surveillance,Mission Design & Analysis,Constellation design for continuous coverage,Graduate,Aerospace,45,Published,Intermediate,Markdown,How Many Satellites Are Needed For 24 Hour Surveil.md,constellation;orbits,
GMAT Tutorial,Mission Design & Analysis,General Mission Analysis Tool tutorial and exercises,Graduate,Aerospace,90,Published,Intermediate,Markdown,Download GMAT 2025a Do the Tutorial.md,gmat;tools,
GMAT Development User Guide,Mission Design & Analysis,GMAT software development guide,Graduate,Aerospace,120,Published,Advanced,PDF,GMAT_Development_UserGuide.pdf,gmat;reference,GMAT Tutorial
GMAT Users Guide,Mission Design & Analysis,Comprehensive GMAT users manual,Graduate,Aerospace,240,Published,Intermediate,PDF,GMAT_UsersGuide.pdf,gmat;reference,GMAT Tutorial
Satellite Operations,Mission Design & Analysis,Satellite operations procedures and best practices,Graduate,Aerospace,60,Published,Intermediate,PDF,8_UNP_Satellite_Operations_Presentation.pdf,nasa;operations,
SpaceX Rideshare Payload Guide,Mission Design & Analysis,SpaceX rideshare integration requirements,Graduate,Aerospace,75,Published,Advanced,Markdown,SpaceX Rideshare Payload User's Guide (RPUG).md,launch;integration,
ConOps and Experiment Plan,Mission Design & Analysis,Concept of operations and experiment planning,Undergraduate,All,45,Published,Intermediate,PDF,5_UNP_EAT_ConOps_and_Experiment_Plan_Presentation.pdf,nasa;planning,Mission Definition
Systems Engineering Part 1,Systems Engineering,Introduction to systems engineering methodology,Undergraduate,Systems,60,Published,Beginner,PDF,1_UNP_EAT_Systems_Engineering_Part_1_Presentation.pdf,nasa;se;fundamentals,Getting Started
Systems Engineering Part 2,Systems Engineering,Systems engineering processes and documentation,Undergraduate,Systems,60,Published,Intermediate,PDF,4_UNP_EAT_Systems_Engineering_Part_2_Presentation.pdf,nasa;se;process,Systems Engineering Part 1
Systems Engineering Part 3,Systems Engineering,Advanced systems engineering practices,Undergraduate,Systems,60,Published,Intermediate,PDF,6_UNP_EAT_Systems_Engineering_Part_3_Presentation.pdf,nasa;se;advanced,Systems Engineering Part 2
SCR/SRR Expectations,Systems Engineering,System Concept Review and System Requirements Review expectations,Undergraduate,Systems,30,Published,Intermediate,PDF,3_UNP_EAT_SCR_SRR_Expectations_Presentation.pdf,nasa;reviews,Systems Engineering Part 1
Mission Assurance,Systems Engineering,Quality assurance and mission reliability practices,Undergraduate,All,30,Published,Intermediate,PDF,7_UNP_EAT_Mission_Assurance_Presentation.pdf,nasa;quality,Systems Engineering Part 1
Read UNP User's Guide Section 2,Systems Engineering,Study assignment for UNP user guide section 2,Undergraduate,All,45,Published,Beginner,Markdown,read UNP user's guide section 2.md,assignment;reading,UNP Nanosatellite User Guide
